2025-09-19 17:30:31 - {"event_name":"Project.Task.Created","event_id":"01K5HGE3XZ4335RQJBDKZE2ZQT","entity_id":"01k5hge3xvywyyp2e8e9b3bryy","project_id":"01k5e2kkwynze0f37a8a4d3435","actor_id":"system","payload":"{\"entityId\":\"01k5hge3xvywyyp2e8e9b3bryy\",\"task_id\":\"01k5hge3xvywyyp2e8e9b3bryy\",\"project_id\":\"01k5e2kkwynze0f37a8a4d3435\",\"component_id\":null,\"actor_id\":\"system\",\"task_data\":{\"status\":\"pending\",\"priority\":\"low\",\"is_hidden\":false,\"estimated_hours\":null,\"actual_hours\":0,\"progress_percent\":0,\"visibility\":\"internal\",\"client_approved\":false,\"name\":\"task 03\",\"description\":\"vffff\",\"project_id\":\"01k5e2kkwynze0f37a8a4d3435\",\"component_id\":null,\"start_date\":\"2025-09-20T00:00:00.000000Z\",\"end_date\":\"2025-09-21T00:00:00.000000Z\",\"tags\":null,\"assignee_id\":null,\"id\":\"01k5hge3xvywyyp2e8e9b3bryy\",\"updated_at\":\"2025-09-19T17:30:31.000000Z\",\"created_at\":\"2025-09-19T17:30:31.000000Z\"},\"projectId\":\"01k5e2kkwynze0f37a8a4d3435\",\"actorId\":\"system\",\"eventName\":\"Project.Task.Created\",\"timestamp\":\"2025-09-19T17:30:31Z\",\"eventId\":\"01K5HGE3XZ4335RQJBDKZE2ZQT\"}","timestamp":"2025-09-19T17:30:31Z"}
2025-10-07 06:11:12 - {"event_name":"Project.Component.ProgressUpdated","event_id":"01K6YMQ6MM817GVNPX6QQZ4FXF","entity_id":"GebLmjbWSz5C8l1qoQKZQXIOMT","project_id":"01k6ymq6m00hbk3qx3x8antw4p","actor_id":"system","payload":"{\"entityId\":\"GebLmjbWSz5C8l1qoQKZQXIOMT\",\"projectId\":\"01k6ymq6m00hbk3qx3x8antw4p\",\"actorId\":\"system\",\"changedFields\":{\"progress_percent\":{\"old\":0,\"new\":50}},\"componentId\":\"GebLmjbWSz5C8l1qoQKZQXIOMT\",\"eventName\":\"Project.Component.ProgressUpdated\",\"timestamp\":\"2025-10-07T06:11:12Z\",\"eventId\":\"01K6YMQ6MM817GVNPX6QQZ4FXF\"}","timestamp":"2025-10-07T06:11:12Z"}
2025-10-07 06:12:12 - {"event_name":"Project.Component.ProgressUpdated","event_id":"01K6YMS12W7WB1ZH6416A8T1R7","entity_id":"IfVpHhWOmV3c1fKHDQnQcJLjtF","project_id":"01k6yms12b8nkpw6zsv7krr4y2","actor_id":"system","payload":"{\"entityId\":\"IfVpHhWOmV3c1fKHDQnQcJLjtF\",\"projectId\":\"01k6yms12b8nkpw6zsv7krr4y2\",\"actorId\":\"system\",\"changedFields\":{\"progress_percent\":{\"old\":0,\"new\":50}},\"componentId\":\"IfVpHhWOmV3c1fKHDQnQcJLjtF\",\"eventName\":\"Project.Component.ProgressUpdated\",\"timestamp\":\"2025-10-07T06:12:12Z\",\"eventId\":\"01K6YMS12W7WB1ZH6416A8T1R7\"}","timestamp":"2025-10-07T06:12:12Z"}
2025-10-07 06:13:01 - {"event_name":"Project.Component.ProgressUpdated","event_id":"01K6YMTH1RTYP0DWJ4S6M1FZRQ","entity_id":"KnUP4D2Dvp7O2Y1P9A1cbp56qf","project_id":"01k6ymth14jf5wkh60ssehag14","actor_id":"system","payload":"{\"entityId\":\"KnUP4D2Dvp7O2Y1P9A1cbp56qf\",\"projectId\":\"01k6ymth14jf5wkh60ssehag14\",\"actorId\":\"system\",\"changedFields\":{\"progress_percent\":{\"old\":0,\"new\":50}},\"componentId\":\"KnUP4D2Dvp7O2Y1P9A1cbp56qf\",\"eventName\":\"Project.Component.ProgressUpdated\",\"timestamp\":\"2025-10-07T06:13:01Z\",\"eventId\":\"01K6YMTH1RTYP0DWJ4S6M1FZRQ\"}","timestamp":"2025-10-07T06:13:01Z"}
2025-10-07 06:25:09 - {"event_name":"Project.Component.ProgressUpdated","event_id":"01K6YNGQDRHAZNEYRQ9FGYMYNM","entity_id":"bOApSCwQBbNEJpRXcZmvVOCIo3","project_id":"01k6yngqd7knc4vn062d5g6133","actor_id":"system","payload":"{\"entityId\":\"bOApSCwQBbNEJpRXcZmvVOCIo3\",\"projectId\":\"01k6yngqd7knc4vn062d5g6133\",\"actorId\":\"system\",\"changedFields\":{\"progress_percent\":{\"old\":0,\"new\":50}},\"componentId\":\"bOApSCwQBbNEJpRXcZmvVOCIo3\",\"eventName\":\"Project.Component.ProgressUpdated\",\"timestamp\":\"2025-10-07T06:25:09Z\",\"eventId\":\"01K6YNGQDRHAZNEYRQ9FGYMYNM\"}","timestamp":"2025-10-07T06:25:09Z"}
2025-10-07 06:25:58 - {"event_name":"Project.Component.ProgressUpdated","event_id":"01K6YNJ7ZKYSKQ66QJ4ARB1TYD","entity_id":"nJlBQIz2Z5r5E2UMQWc1CMxN0t","project_id":"01k6ynj7yxzneheye6rjfwss02","actor_id":"system","payload":"{\"entityId\":\"nJlBQIz2Z5r5E2UMQWc1CMxN0t\",\"projectId\":\"01k6ynj7yxzneheye6rjfwss02\",\"actorId\":\"system\",\"changedFields\":{\"progress_percent\":{\"old\":0,\"new\":50}},\"componentId\":\"nJlBQIz2Z5r5E2UMQWc1CMxN0t\",\"eventName\":\"Project.Component.ProgressUpdated\",\"timestamp\":\"2025-10-07T06:25:58Z\",\"eventId\":\"01K6YNJ7ZKYSKQ66QJ4ARB1TYD\"}","timestamp":"2025-10-07T06:25:58Z"}
2025-10-07 06:26:52 - {"event_name":"Project.Component.ProgressUpdated","event_id":"01K6YNKW6SE11TB5RYNC9TWC6F","entity_id":"QsP89mmKvqcnWjurbCyaO9BaDi","project_id":"01k6ynkw6gpepx2xxvhb88sskz","actor_id":"system","payload":"{\"entityId\":\"QsP89mmKvqcnWjurbCyaO9BaDi\",\"projectId\":\"01k6ynkw6gpepx2xxvhb88sskz\",\"actorId\":\"system\",\"changedFields\":{\"progress_percent\":{\"old\":0,\"new\":50}},\"componentId\":\"QsP89mmKvqcnWjurbCyaO9BaDi\",\"eventName\":\"Project.Component.ProgressUpdated\",\"timestamp\":\"2025-10-07T06:26:52Z\",\"eventId\":\"01K6YNKW6SE11TB5RYNC9TWC6F\"}","timestamp":"2025-10-07T06:26:52Z"}
2025-10-07 06:27:52 - {"event_name":"Project.Component.ProgressUpdated","event_id":"01K6YNNPMNBYFSKBYZDC9JKYNF","entity_id":"UVAFVAX5OOgZgsXYYY4Kc8Kx3V","project_id":"01k6ynnpmdgwvk5js2vtcm7kks","actor_id":"system","payload":"{\"entityId\":\"UVAFVAX5OOgZgsXYYY4Kc8Kx3V\",\"projectId\":\"01k6ynnpmdgwvk5js2vtcm7kks\",\"actorId\":\"system\",\"changedFields\":{\"progress_percent\":{\"old\":0,\"new\":50}},\"componentId\":\"UVAFVAX5OOgZgsXYYY4Kc8Kx3V\",\"eventName\":\"Project.Component.ProgressUpdated\",\"timestamp\":\"2025-10-07T06:27:52Z\",\"eventId\":\"01K6YNNPMNBYFSKBYZDC9JKYNF\"}","timestamp":"2025-10-07T06:27:52Z"}
2025-10-07 06:28:50 - {"event_name":"Project.Component.ProgressUpdated","event_id":"01K6YNQFQES6FCVK1PESJZZEJ9","entity_id":"AlYbspFUhQ6QQuztnBzdpb8U1u","project_id":"01k6ynqfq1hnf533d6ppp3wy6n","actor_id":"system","payload":"{\"entityId\":\"AlYbspFUhQ6QQuztnBzdpb8U1u\",\"projectId\":\"01k6ynqfq1hnf533d6ppp3wy6n\",\"actorId\":\"system\",\"changedFields\":{\"progress_percent\":{\"old\":0,\"new\":50}},\"componentId\":\"AlYbspFUhQ6QQuztnBzdpb8U1u\",\"eventName\":\"Project.Component.ProgressUpdated\",\"timestamp\":\"2025-10-07T06:28:50Z\",\"eventId\":\"01K6YNQFQES6FCVK1PESJZZEJ9\"}","timestamp":"2025-10-07T06:28:50Z"}
2025-10-07 06:29:50 - {"event_name":"Project.Component.ProgressUpdated","event_id":"01K6YNS9X6WDY5THDH4Y1JNM5V","entity_id":"TMrC0mLnqQO7lkVlMXFLAMnrGq","project_id":"01k6yns9wfb1fdjk1arr6v5tmb","actor_id":"system","payload":"{\"entityId\":\"TMrC0mLnqQO7lkVlMXFLAMnrGq\",\"projectId\":\"01k6yns9wfb1fdjk1arr6v5tmb\",\"actorId\":\"system\",\"changedFields\":{\"progress_percent\":{\"old\":0,\"new\":50}},\"componentId\":\"TMrC0mLnqQO7lkVlMXFLAMnrGq\",\"eventName\":\"Project.Component.ProgressUpdated\",\"timestamp\":\"2025-10-07T06:29:50Z\",\"eventId\":\"01K6YNS9X6WDY5THDH4Y1JNM5V\"}","timestamp":"2025-10-07T06:29:50Z"}
2025-10-07 06:31:03 - {"event_name":"Project.Component.ProgressUpdated","event_id":"01K6YNVHG6301HF2DZWX6VGD3E","entity_id":"51cFxlG41f2KzqNQDslRhQfenN","project_id":"01k6ynvhfjfhddpzfyb426z2hr","actor_id":"system","payload":"{\"entityId\":\"51cFxlG41f2KzqNQDslRhQfenN\",\"projectId\":\"01k6ynvhfjfhddpzfyb426z2hr\",\"actorId\":\"system\",\"changedFields\":{\"progress_percent\":{\"old\":0,\"new\":50}},\"componentId\":\"51cFxlG41f2KzqNQDslRhQfenN\",\"eventName\":\"Project.Component.ProgressUpdated\",\"timestamp\":\"2025-10-07T06:31:03Z\",\"eventId\":\"01K6YNVHG6301HF2DZWX6VGD3E\"}","timestamp":"2025-10-07T06:31:03Z"}
2025-10-07 06:31:03 - {"event_name":"Project.Component.ProgressUpdated","event_id":"01K6YNVHN6HEF41T1ZA4G5F5J4","entity_id":"91GpIbgQJourNvHUU7hZF6o2Vo","project_id":"01k6ynvhn48t1160ex01ftxtc9","actor_id":"system","payload":"{\"entityId\":\"91GpIbgQJourNvHUU7hZF6o2Vo\",\"projectId\":\"01k6ynvhn48t1160ex01ftxtc9\",\"actorId\":\"system\",\"changedFields\":{\"progress_percent\":{\"old\":25,\"new\":75}},\"componentId\":\"91GpIbgQJourNvHUU7hZF6o2Vo\",\"eventName\":\"Project.Component.ProgressUpdated\",\"timestamp\":\"2025-10-07T06:31:03Z\",\"eventId\":\"01K6YNVHN6HEF41T1ZA4G5F5J4\"}","timestamp":"2025-10-07T06:31:03Z"}
